Standard_Bangla,English_translation
"বাবা গো কি পল্টিই না দেখলো দেশবাসী, শয়তান ও লজ্জা পাবে",Didn't the nation see the Prime Minister's flip-flop? Even the devil would be ashamed.
"মিথ্যার পিছনে মিথ্যা দৌড়ায় ,সত্য তার নাগাল পায় না !","Lies chase lies, and truth cannot catch up!"
এটাই বাকি ছিল,This was all that remained.
আমি আগেই ভেবেছিলাম এইরকম কোনকিছু হবে।,I had already thought something like this would happen.
ফাইনালি হাসান মাহমুদ সাহেবের ইচ্ছাটা পুরন হল,"Finally, Hasan Mahmud's wish was fulfilled."
রোযার মাস আল্লাহ যালিমদের বিচার কর,May Allah judge the oppressors during the month of Ramadan.
"তোর মুখের ভাষাই প্রমাণ করে তো র ফ্যামিলি স্ট্যাটাস, কোন নর্দমায় তোর জ ন্ম!! দীর্ঘজীবী হও, বংশের মুখ উজ্জ্বল করো।","The way you speak reveals your family status, and the gutter you were born in!! Live long, and bring honor to your lineage."
আমলীগ কি বাল ছেড়ে বানচেদ।,Is the Awami League abandoning ship (or becoming disorganized)?
"দুঃখজনক হলেও সত্যি যে, পরিস্থিতির কারণে গালিগুলা দিতে পারলাম না।","It's unfortunate, but due to the circumstances, I wasn't able to hurl insults."
"এই থানার সব পুলিশ’ও মনে হয়, জন্ম হইছে বিরোধী দলের দোষে।",It seems like all the police officers in this police station believe they were born because of the opposition party's faults.
খালেদা জিয়াকে ও প্রধান আসামি করলে এই দেশের মানুষ মোটে ও অবাক হতো না। কারণ এই দেশে মামলা বলতে প্রতিপক্ষে দমন করা।,"If Khaleda Zia were also named as a prime suspect, the people of this country wouldn't be surprised at all. Because in this country, a case means suppressing the opposition."
হা হা এরকমই অনুমান করেছিলাম,"Haha, that's what I expected."
হা হা... পুলিশ কতো বড় অমানুষ,Haha... The police are such monsters.
